      TIME       MSD_x       MSD_y       MSD_z      MSD_xy      MSD_xz      MSD_yz     MSD_xyz       STD_x       STD_y       STD_z      STD_xy      STD_xz      STD_yz     STD_xyz        N_eff
1.25000e+01 2.41197e+03 0.00000e+00 0.00000e+00 2.41197e+03 2.41197e+03 0.00000e+00 2.41197e+03 2.15742e+01 0.00000e+00 0.00000e+00 1.52552e+01 1.52552e+01 0.00000e+00 1.24558e+01 1.00000e+00
3.75000e+01 2.74150e+03 0.00000e+00 0.00000e+00 2.74150e+03 2.74150e+03 0.00000e+00 2.74150e+03 2.45222e+01 0.00000e+00 0.00000e+00 1.73398e+01 1.73398e+01 0.00000e+00 1.41579e+01 1.00012e+00
6.25000e+01 5.49830e+03 0.00000e+00 0.00000e+00 5.49830e+03 5.49830e+03 0.00000e+00 5.49830e+03 6.02340e+01 0.00000e+00 0.00000e+00 4.25919e+01 4.25919e+01 0.00000e+00 3.47761e+01 2.00000e+00
8.75000e+01 8.02056e+03 0.00000e+00 0.00000e+00 8.02056e+03 8.02056e+03 0.00000e+00 8.02056e+03 1.03098e+02 0.00000e+00 0.00000e+00 7.29016e+01 7.29016e+01 0.00000e+00 5.95239e+01 2.92698e+00
1.12500e+02 8.78467e+03 0.00000e+00 0.00000e+00 8.78467e+03 8.78467e+03 0.00000e+00 8.78467e+03 1.17108e+02 0.00000e+00 0.00000e+00 8.28081e+01 8.28081e+01 0.00000e+00 6.76125e+01 3.17420e+00
1.37500e+02 1.09932e+04 0.00000e+00 0.00000e+00 1.09932e+04 1.09932e+04 0.00000e+00 1.09932e+04 1.63295e+02 0.00000e+00 0.00000e+00 1.15467e+02 1.15467e+02 0.00000e+00 9.42781e+01 4.01182e+00
1.62500e+02 1.36807e+04 0.00000e+00 0.00000e+00 1.36807e+04 1.36807e+04 0.00000e+00 1.36807e+04 2.25467e+02 0.00000e+00 0.00000e+00 1.59429e+02 1.59429e+02 0.00000e+00 1.30173e+02 4.99177e+00
1.87500e+02 1.59746e+04 0.00000e+00 0.00000e+00 1.59746e+04 1.59746e+04 0.00000e+00 1.59746e+04 2.83068e+02 0.00000e+00 0.00000e+00 2.00159e+02 2.00159e+02 0.00000e+00 1.63429e+02 5.80006e+00
2.12500e+02 1.71021e+04 0.00000e+00 0.00000e+00 1.71021e+04 1.71021e+04 0.00000e+00 1.71021e+04 3.14616e+02 0.00000e+00 0.00000e+00 2.22467e+02 2.22467e+02 0.00000e+00 1.81643e+02 6.26428e+00
2.37500e+02 1.91885e+04 0.00000e+00 0.00000e+00 1.91885e+04 1.91885e+04 0.00000e+00 1.91885e+04 3.73712e+02 0.00000e+00 0.00000e+00 2.64254e+02 2.64254e+02 0.00000e+00 2.15763e+02 7.03924e+00
2.62500e+02 2.19003e+04 0.00000e+00 0.00000e+00 2.19003e+04 2.19003e+04 0.00000e+00 2.19003e+04 4.53389e+02 0.00000e+00 0.00000e+00 3.20594e+02 3.20594e+02 0.00000e+00 2.61764e+02 7.97137e+00
2.87500e+02 2.37247e+04 0.00000e+00 0.00000e+00 2.37247e+04 2.37247e+04 0.00000e+00 2.37247e+04 5.14024e+02 0.00000e+00 0.00000e+00 3.63470e+02 3.63470e+02 0.00000e+00 2.96772e+02 8.74211e+00
3.12500e+02 2.54767e+04 0.00000e+00 0.00000e+00 2.54767e+04 2.54767e+04 0.00000e+00 2.54767e+04 5.69557e+02 0.00000e+00 0.00000e+00 4.02737e+02 4.02737e+02 0.00000e+00 3.28834e+02 9.31446e+00
3.37500e+02 2.72555e+04 0.00000e+00 0.00000e+00 2.72555e+04 2.72555e+04 0.00000e+00 2.72555e+04 6.33361e+02 0.00000e+00 0.00000e+00 4.47854e+02 4.47854e+02 0.00000e+00 3.65671e+02 1.00719e+01
3.62500e+02 3.00530e+04 0.00000e+00 0.00000e+00 3.00530e+04 3.00530e+04 0.00000e+00 3.00530e+04 7.27895e+02 0.00000e+00 0.00000e+00 5.14699e+02 5.14699e+02 0.00000e+00 4.20250e+02 1.09499e+01
3.87500e+02 3.18005e+04 0.00000e+00 0.00000e+00 3.18005e+04 3.18005e+04 0.00000e+00 3.18005e+04 7.96074e+02 0.00000e+00 0.00000e+00 5.62910e+02 5.62910e+02 0.00000e+00 4.59614e+02 1.17031e+01
4.12500e+02 3.39304e+04 0.00000e+00 0.00000e+00 3.39304e+04 3.39304e+04 0.00000e+00 3.39304e+04 8.72195e+02 0.00000e+00 0.00000e+00 6.16735e+02 6.16735e+02 0.00000e+00 5.03562e+02 1.23440e+01
4.37500e+02 3.56518e+04 0.00000e+00 0.00000e+00 3.56518e+04 3.56518e+04 0.00000e+00 3.56518e+04 9.43982e+02 0.00000e+00 0.00000e+00 6.67496e+02 6.67496e+02 0.00000e+00 5.45008e+02 1.31013e+01
4.62500e+02 3.78012e+04 0.00000e+00 0.00000e+00 3.78012e+04 3.78012e+04 0.00000e+00 3.78012e+04 1.03184e+03 0.00000e+00 0.00000e+00 7.29622e+02 7.29622e+02 0.00000e+00 5.95734e+02 1.39288e+01
4.87500e+02 4.00431e+04 0.00000e+00 0.00000e+00 4.00431e+04 4.00431e+04 0.00000e+00 4.00431e+04 1.12212e+03 0.00000e+00 0.00000e+00 7.93457e+02 7.93457e+02 0.00000e+00 6.47855e+02 1.46832e+01
5.12500e+02 4.19596e+04 0.00000e+00 0.00000e+00 4.19596e+04 4.19596e+04 0.00000e+00 4.19596e+04 1.20276e+03 0.00000e+00 0.00000e+00 8.50478e+02 8.50478e+02 0.00000e+00 6.94412e+02 1.53662e+01
5.37500e+02 4.39093e+04 0.00000e+00 0.00000e+00 4.39093e+04 4.39093e+04 0.00000e+00 4.39093e+04 1.28907e+03 0.00000e+00 0.00000e+00 9.11510e+02 9.11510e+02 0.00000e+00 7.44245e+02 1.61206e+01
5.62500e+02 4.60281e+04 0.00000e+00 0.00000e+00 4.60281e+04 4.60281e+04 0.00000e+00 4.60281e+04 1.38420e+03 0.00000e+00 0.00000e+00 9.78780e+02 9.78780e+02 0.00000e+00 7.99171e+02 1.69190e+01
5.87500e+02 4.73422e+04 0.00000e+00 0.00000e+00 4.73422e+04 4.73422e+04 0.00000e+00 4.73422e+04 1.45483e+03 0.00000e+00 0.00000e+00 1.02872e+03 1.02872e+03 0.00000e+00 8.39948e+02 1.76685e+01
6.12500e+02 4.99204e+04 0.00000e+00 0.00000e+00 4.99204e+04 4.99204e+04 0.00000e+00 4.99204e+04 1.56460e+03 0.00000e+00 0.00000e+00 1.10634e+03 1.10634e+03 0.00000e+00 9.03321e+02 1.83805e+01
